gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_CE	genelabels
g462	435.231356074404	2.26693515036303	0.447125842275933	5.07140733426332	3.94884534946365e-07	4.5406658896589e-05	TRUE	
g909	319.173042961308	1.50918934883745	0.297412346910764	5.07261284109766	3.92390311029024e-07	4.5406658896589e-05	TRUE	
g22	57596.3886484711	1.91067893145552	0.377369226121818	5.06425556474727	4.09999326212028e-07	4.65478981872871e-05	TRUE	
g7917	290.821952273258	-2.02626691690215	0.401917444470686	-5.0364754910272	4.7418179283999e-07	5.31617062497734e-05	TRUE	
g11	7955.5681313371	1.91139162539035	0.379834623953397	5.0332033813127	4.82350910810142e-07	5.34099422105699e-05	TRUE	
g887	2350.29618273326	1.32351635284164	0.263770376010434	5.01756186109926	5.23313538334939e-07	5.72390137234887e-05	TRUE	
g8660	106.4100451027	-2.84127469714995	0.577483906314621	-5.01282524587419	5.36366060527861e-07	5.79598457454745e-05	TRUE	
g142	5526.40916676429	1.33488735673823	0.266640256857742	5.00629067063498	5.54889444906141e-07	5.92476598971807e-05	TRUE	
g620	1478.62453052177	1.85270919155015	0.37114809076056	4.99212225881961	5.97194314544153e-07	6.29776360529285e-05	TRUE	
g7400	758.27456178056	1.55734850751426	0.312058748758735	4.9899765320446	6.03866283928181e-07	6.29776360529285e-05	TRUE	
g144	1500.55290638791	1.20974908715079	0.242874366740584	4.98075751046597	6.33358619563667e-07	6.31401344908983e-05	TRUE	
g533	11179.0714888884	2.21387282710265	0.444953718803675	4.98068875955372	6.33583688725704e-07	6.31401344908983e-05	TRUE	
g546	124.494563234336	1.59537648394404	0.319838883470429	4.98248469963821	6.27729556105933e-07	6.31401344908983e-05	TRUE	
g932	121.896919186645	2.66015534694836	0.535107858147346	4.98288219615646	6.26440921661917e-07	6.31401344908983e-05	TRUE	
g696	3972.57772887247	1.50175200914974	0.302957200604432	4.95699420288673	7.15921118936162e-07	7.05615001729498e-05	TRUE	
g1226	561.672184613062	2.3841023811561	0.482222834976744	4.95290547501009	7.31134959034829e-07	7.12777113867759e-05	TRUE	
g940	3633.9757151734	1.60791861996388	0.325724156944012	4.93651158143745	7.95323165763476e-07	7.67016502551894e-05	TRUE	
