logFC	logCPM	PValue
g430	1.11466506840488	0.14887972696531	0.0460693726555355
g431	0.979302820986756	8.31432762250812	0.00170346769909118
g432	2.39267411812266	7.46588214401148	7.7904514654174e-07
g433	0.907048441530059	10.5197661325856	4.98570478346457e-08
g435	1.27860249135451	0.688041248262784	0.0292615585073404
g436	1.01976644952037	6.9611087479342	4.71784992587477e-08
g437	0.971344077543191	3.04098450637392	0.000277998322265978
g438	1.05080868979389	5.97350256263691	1.26196206708857e-08
g439	1.65819166387063	10.3109217802608	1.45225985269336e-20
g440	1.22131447990847	5.90134593245975	0.000224632499334575
g441	1.15928005963748	5.42371586768363	2.17078060431602e-10
g442	1.32162393418563	5.71492589481752	1.34785336418736e-08
g443	3.31668938208875	4.58906289274907	5.43130514486638e-07
g444	0.376287873225378	6.70423876961998	0.0938286226074509
g445	1.39425489020917	2.92820287838508	2.4676718840061e-06
g446	0.727048708477499	2.41143883655135	0.0168557629077146
g447	-0.784025151519165	4.0763801108692	0.322002618787363
g448	1.81707906646717	2.50736442485062	1.65062647547732e-06
g449	0.988281950391665	8.12815832243269	0.00017019301731694
g450	1.41582234463989	4.18170642571711	0.000333479794103445
g451	1.60844509310064	1.8577295022708	0.00119459611483547
g452	-0.0608710555717588	2.44075448465427	0.909699365868622
g453	1.2775608063693	7.10526198942945	1.6484898885291e-09
g454	1.43928356046522	8.57102351575882	1.61664610722539e-21
g455	1.9938398049425	3.32544841509725	8.24572372201377e-11
g456	1.37142327550385	3.64679740637338	1.29122296253503e-05
g457	2.03923550776051	2.25050073356304	5.66536837774293e-05
g459	1.3137945862245	3.89056913850764	0.0033731873057624
g460	2.81188159329561	6.6261920995531	3.17099030586715e-24
g461	0.649960239049849	1.28918512636454	0.0994689044787795
g462	1.98722817063884	7.18466490183138	8.41063185955752e-12
g463	1.46384156594572	9.85586444634803	0.000103565691375126
g465	1.22773827527659	7.6270462113971	1.16742547149985e-14
g466	0.892517071469947	8.56804748201717	1.75814207556284e-09
g467	1.12294616590667	3.32485483055861	5.2989761025826e-05
g468	1.43011793285248	3.37745139468541	8.139825083136e-05
g469	0.132916773123462	1.25346547919154	0.894043433582281
g471	0.645939199556278	2.09118343468421	0.111018021654131
g472	1.41721935839379	3.94251030072367	1.96644392528684e-05
g473	1.52027696010465	10.4608429659886	7.65488046144737e-09
g474	0.334278031999384	2.17390040009827	0.359399078832263
g475	1.30749530954122	8.91495196828502	2.92635428633365e-13
g476	-0.180793377766819	4.18765390795455	0.80829672554364
g477	1.16516477864688	4.19797933180983	0.000399274090480752
g478	1.87514157869381	5.52497438056988	0.000147499226801341
g479	1.37918912611031	8.50073586141408	1.1743268980084e-11
g480	1.76658240577397	8.33269526094278	1.6620572058684e-29
g481	0.780121552225961	8.87581836729996	0.00104474632885372
g482	1.1424029646396	1.88425118398471	0.136857695588142
g483	0.979466326571883	4.89965753867526	0.000127949432590129
g484	1.39043252915433	7.63278601242037	1.25495937941096e-09
g485	0.3017877207403	6.56879388008984	0.0954423447572852
g486	0.938152511908607	2.37828817356221	0.00236523739050556
g488	1.84916370404395	10.2411365995377	4.84930078809859e-15
g489	0.69017385215217	3.86517088509516	0.00614912359851344
g490	0.681471899288881	6.11217073542953	6.03140758657881e-05
g491	1.40341228346705	10.0709573854433	1.31300360267843e-17
g492	1.55101327839064	6.78668152849768	1.32943886578963e-16
g493	1.02202106767654	1.78721234649643	0.139585588195611
g494	1.5012923239886	3.16920464888102	1.10465123850635e-08
g495	2.68861676972257	3.8730005392676	2.71235981869453e-27
g496	0.927880928463151	6.25524271366535	0.00117022174327087
g497	-1.17543053054597	2.53858272764606	0.0603434387208588
g498	1.26976417097517	2.89970631321668	3.92234061650147e-05
g500	1.11163240178778	9.29898890678986	3.56990034770833e-13
g501	0.966619336398239	5.03648449344069	0.0225983478132927
g502	1.53687305149821	3.34028064738804	2.89218050850342e-06
g503	2.67385887477854	9.26910059541855	1.32438759461128e-68
